Model,Accuracy,Precision,Recall,F1
Naive Bayes (Text Only),0.9678411633109619,1.0,0.3352601156069364,0.5021645021645021
Logistic Regression (Text + Metadata),0.9781879194630873,0.7188940092165899,0.9017341040462428,0.8
SGD Classifier (Text + Metadata),0.9672818791946308,0.6037037037037037,0.9421965317919075,0.7358916478555305
